+-----------------------------------+------------+----+
|                term               |   docID    | df |
+-----------------------------------+------------+----+
|            ('1', 'in')            |   ['1']    | 1  |
|           ('100', 'and')          |   ['1']    | 1  |
|           ('105', 'mph')          |   ['2']    | 1  |
|          ('11', 'after')          |   ['2']    | 1  |
|           ('165', 'kmh')          |   ['2']    | 1  |
|           ('165', 'mph')          |   ['2']    | 1  |
|            ('18', 'it')           |   ['2']    | 1  |
|            ('2', '62')            |   ['1']    | 1  |
|        ('2003', 'atlantic')       |   ['2']    | 1  |
|           ('265', 'kmh')          |   ['2']    | 1  |
|            ('6', 'in')            |   ['2']    | 1  |
|           ('62', 'and')           |   ['1']    | 1  |
|            ('64', 'of')           |   ['2']    | 1  |
|            ('68', 'of')           |   ['2']    | 1  |
|          ('a', 'circle')          |   ['1']    | 1  |
|          ('a', 'closed')          |   ['1']    | 1  |
|         ('a', 'hurricane')        | ['1', '2'] | 2  |
|       ('a', 'low-pressure')       |   ['1']    | 1  |
|          ('a', 'portion')         |   ['2']    | 1  |
|          ('a', 'rapidly')         |   ['1']    | 1  |
|          ('a', 'result')          |   ['1']    | 1  |
|          ('a', 'spiral')          |   ['1']    | 1  |
|         ('a', 'tropical')         | ['1', '2'] | 2  |
|          ('a', 'typhoon')         |   ['1']    | 1  |
|          ('about', '64')          |   ['2']    | 1  |
|         ('absent', 'from')        |   ['1']    | 1  |
|         ('african', 'and')        |   ['1']    | 1  |
|      ('after', 'fluctuating')     |   ['2']    | 1  |
|          ('air', 'flows')         |   ['1']    | 1  |
|          ('air', 'rises')         |   ['1']    | 1  |
|      ('almost', 'completely')     |   ['1']    | 1  |
|     ('almost', 'exclusively')     |   ['1']    | 1  |
|          ('along', 'the')         |   ['2']    | 1  |
|         ('also', 'almost')        |   ['1']    | 1  |
|     ('american', 'continents')    |   ['1']    | 1  |
|       ('an', 'environment')       |   ['2']    | 1  |
|            ('and', '1')           |   ['1']    | 1  |
|            ('and', '2')           |   ['1']    | 1  |
|           ('and', '68')           |   ['2']    | 1  |
|            ('and', 'a')           |   ['1']    | 1  |
|          ('and', 'along')         |   ['2']    | 1  |
|         ('and', 'became')         |   ['2']    | 1  |
|         ('and', 'blowing')        |   ['1']    | 1  |
|          ('and', 'cools')         |   ['1']    | 1  |
|         ('and', 'damage')         |   ['2']    | 1  |
|        ('and', 'european')        |   ['1']    | 1  |
|        ('and', 'humboldt')        |   ['1']    | 1  |
|          ('and', 'local')         |   ['2']    | 1  |
|          ('and', 'made')          |   ['2']    | 1  |
|          ('and', 'north')         |   ['2']    | 1  |
|      ('and', 'northeastern')      |   ['1']    | 1  |
|          ('and', 'rain')          |   ['1']    | 1  |
|         ('and', 'second')         |   ['2']    | 1  |
|         ('and', 'simply')         |   ['1']    | 1  |
|          ('and', 'south')         |   ['1']    | 1  |
|        ('and', 'strength')        |   ['1']    | 1  |
|        ('and', 'strongest')       |   ['2']    | 1  |
|        ('and', 'virginia')        |   ['2']    | 1  |
|          ('and', 'warm')          |   ['2']    | 1  |
|       ('and', 'washington')       |   ['2']    | 1  |
|         ('and', 'within')         |   ['2']    | 1  |
|      ('angular', 'momentum')      |   ['1']    | 1  |
|            ('are', 'a')           |   ['1']    | 1  |
|          ('are', 'also')          |   ['1']    | 1  |
|         ('are', 'fueled')         |   ['1']    | 1  |
|        ('are', 'referred')        |   ['1']    | 1  |
|        ('are', 'typically')       |   ['1']    | 1  |
|          ('area', 'and')          |   ['2']    | 1  |
|          ('areas', 'of')          |   ['2']    | 1  |
|         ('areas', 'were')         |   ['2']    | 1  |
|       ('arrangement', 'of')       |   ['1']    | 1  |
|            ('as', 'a')            |   ['1']    | 1  |
|           ('as', 'air')           |   ['1']    | 1  |
|           ('as', 'far')           | ['1', '2'] | 2  |
|          ('as', 'isabel')         |   ['2']    | 1  |
|        ('as', 'noreasters')       |   ['1']    | 1  |
|            ('as', 'or')           |   ['1']    | 1  |
|         ('as', 'richmond')        |   ['2']    | 1  |
|           ('as', 'with')          |   ['1']    | 1  |
|     ('atlantic', 'hurricane')     |   ['2']    | 1  |
|       ('atlantic', 'ocean')       | ['1', '2'] | 2  |
|   ('atmospheric', 'circulation')  |   ['1']    | 1  |
|           ('axis', 'of')          |   ['1']    | 1  |
|          ('banks', 'of')          |   ['2']    | 1  |
|        ('banks,', 'where')        |   ['2']    | 1  |
|          ('basins', 'as')         |   ['1']    | 1  |
|    ('became', 'extratropical')    |   ['2']    | 1  |
|         ('because', 'the')        |   ['1']    | 1  |
|        ('benguela', 'and')        |   ['1']    | 1  |
|         ('between', '100')        |   ['1']    | 1  |
|      ('blowing', 'clockwise')     |   ['1']    | 1  |
|  ('blowing', 'counterclockwise')  |   ['1']    | 1  |
|          ('bodies', 'of')         |   ['1']    | 1  |
|            ('by', 'a')            | ['1', '2'] | 2  |
|        ('by', 'different')        |   ['1']    | 1  |
|        ('by', 'horizontal')       |   ['1']    | 1  |
|           ('by', 'the')           |   ['1']    | 1  |
|           ('by', 'were')          |   ['2']    | 1  |
|         ('cape', 'verde')         |   ['2']    | 1  |
|        ('carolina', 'and')        |   ['2']    | 1  |
|        ('carolina', 'the')        |   ['2']    | 1  |
|        ('carolina', 'with')       |   ['2']    | 1  |
|      ('caused', 'thousands')      |   ['2']    | 1  |
|          ('center', 'a')          |   ['1']    | 1  |
|        ('central', 'clear')       |   ['1']    | 1  |
|      ('characterized', 'by')      |   ['1']    | 1  |
|       ('circle', 'whirling')      |   ['1']    | 1  |
|       ('circulation', 'is')       |   ['1']    | 1  |
|     ('circulation', 'strong')     |   ['1']    | 1  |
|          ('clear', 'eye')         |   ['1']    | 1  |
|        ('clockwise', 'in')        |   ['1']    | 1  |
|      ('closed', 'low-level')      |   ['1']    | 1  |
|         ('clouds', 'and')         |   ['1']    | 1  |
|      ('comparable', 'storms')     |   ['1']    | 1  |
|      ('completely', 'absent')     |   ['1']    | 1  |
|       ('conservation', 'of')      |   ['1']    | 1  |
|      ('continents', 'permit')     |   ['1']    | 1  |
|     ('contrasts', 'tropical')     |   ['1']    | 1  |
|         ('cool', 'water')         |   ['1']    | 1  |
|          ('cools', 'to')          |   ['1']    | 1  |
|       ('coriolis', 'effect')      |   ['1']    | 1  |
|     ('costliest', 'deadliest')    |   ['2']    | 1  |
|     ('counterclockwise', 'in')    |   ['1']    | 1  |
|         ('cover', 'ocean')        |   ['1']    | 1  |
|         ('currents', 'to')        |   ['1']    | 1  |
|          ('cyclone', 'a')         | ['1', '2'] | 2  |
|         ('cyclone', 'are')        |   ['1']    | 1  |
|         ('cyclone', 'is')         |   ['1']    | 1  |
|        ('cyclone', 'that')        |   ['1']    | 1  |
|        ('cyclones', 'are')        |   ['1']    | 1  |
|     ('cyclones', 'typically')     |   ['1']    | 1  |
|       ('cyclonic', 'refers')      |   ['1']    | 1  |
|       ('cyclonic', 'storm')       |   ['1']    | 1  |
|       ('cyclonic', 'storms')      |   ['1']    | 1  |
|          ('damage', '\n')         |   ['2']    | 1  |
|         ('damage', 'and')         |   ['2']    | 1  |
|         ('damage', 'from')        |   ['2']    | 1  |
|         ('damage', 'was')         |   ['2']    | 1  |
|         ('damaged', 'or')         |   ['2']    | 1  |
|           ('day', 'in')           |   ['2']    | 1  |
|         ('days', 'isabel')        |   ['2']    | 1  |
|          ('days', 'some')         |   ['2']    | 1  |
|         ('dc', 'virginia')        |   ['2']    | 1  |
|        ('deadliest', 'and')       |   ['2']    | 1  |
|         ('deaths', 'and')         |   ['2']    | 1  |
|       ('deaths', 'occurred')      |   ['2']    | 1  |
|        ('depending', 'on')        |   ['1']    | 1  |
|       ('depression', 'and')       |   ['1']    | 1  |
|        ('derive', 'their')        |   ['1']    | 1  |
|        ('destroyed', 'the')       |   ['2']    | 1  |
|        ('diameter', 'the')        |   ['1']    | 1  |
|       ('different', 'names')      |   ['1']    | 1  |
|        ('differs', 'from')        |   ['1']    | 1  |
|        ('direction', 'of')        |   ['1']    | 1  |
|        ('disrupted', 'in')        |   ['2']    | 1  |
|         ('dollars', 'in')         |   ['2']    | 1  |
|           ('due', 'to')           |   ['1']    | 1  |
|       ('earths', 'rotation')      |   ['1']    | 1  |
|       ('effect', 'tropical')      |   ['1']    | 1  |
|         ('effects', 'of')         |   ['2']    | 1  |
|      ('electric', 'service')      |   ['2']    | 1  |
|       ('electricity', 'for')      |   ['2']    | 1  |
|        ('energy', 'source')       |   ['1']    | 1  |
|       ('energy', 'through')       |   ['1']    | 1  |
|       ('environment', 'of')       |   ['2']    | 1  |
|      ('equator', 'tropical')      |   ['1']    | 1  |
|        ('especially', 'in')       |   ['2']    | 1  |
|     ('european', 'windstorms')    |   ['1']    | 1  |
|       ('evaporation', 'of')       |   ['1']    | 1  |
|       ('even', 'destroyed')       |   ['2']    | 1  |
|      ('excessively', 'cool')      |   ['1']    | 1  |
|      ('exclusively', 'over')      |   ['1']    | 1  |
|     ('extratropical', 'over')     |   ['2']    | 1  |
|          ('eye', 'with')          |   ['1']    | 1  |
|          ('far', 'north')         |   ['1']    | 1  |
|          ('far', 'west')          |   ['2']    | 1  |
|       ('fifth', 'hurricane')      |   ['2']    | 1  |
|       ('flooding', 'caused')      |   ['2']    | 1  |
|        ('flows', 'inwards')       |   ['1']    | 1  |
|       ('fluctuating', 'in')       |   ['2']    | 1  |
|          ('for', 'four')          |   ['2']    | 1  |
|         ('for', 'several')        |   ['2']    | 1  |
|          ('for', 'weeks')         |   ['2']    | 1  |
|         ('form', 'almost')        |   ['1']    | 1  |
|          ('form', 'over')         |   ['1']    | 1  |
|          ('form', 'what')         |   ['2']    | 1  |
|         ('form', 'within')        |   ['1']    | 1  |
|         ('formed', 'near')        |   ['2']    | 1  |
|          ('four', 'days')         |   ['2']    | 1  |
|           ('from', 'a')           |   ['2']    | 1  |
|         ('from', 'isabel')        |   ['2']    | 1  |
|      ('from', 'southwestern')     |   ['1']    | 1  |
|          ('from', 'that')         |   ['1']    | 1  |
|          ('from', 'the')          | ['1', '2'] | 2  |
|      ('fueled', 'primarily')      |   ['1']    | 1  |
|     ('geographical', 'origin')    |   ['1']    | 1  |
|     ('gradually', 'weakened')     |   ['2']    | 1  |
|       ('greatest', 'along')       |   ['2']    | 1  |
|        ('hampton', 'roads')       |   ['2']    | 1  |
|       ('hatteras', 'island')      |   ['2']    | 1  |
|         ('heavy', 'rain')         |   ['1']    | 1  |
|       ('hemisphere', 'and')       |   ['1']    | 1  |
|       ('hemisphere', 'the')       |   ['1']    | 1  |
|          ('homes', 'by')          |   ['2']    | 1  |
|   ('horizontal', 'temperature')   |   ['1']    | 1  |
|      ('humboldt', 'currents')     |   ['1']    | 1  |
|       ('hurricane', 'about')      |   ['2']    | 1  |
|        ('hurricane', 'and')       |   ['2']    | 1  |
|        ('hurricane', 'in')        |   ['2']    | 1  |
|        ('hurricane', 'is')        |   ['1']    | 1  |
|      ('hurricane', 'isabel')      |   ['2']    | 1  |
|        ('hurricane', 'of')        |   ['2']    | 1  |
|      ('hurricane', 'season')      |   ['2']    | 1  |
|      ('hurricane', 'typhoon')     |   ['1']    | 1  |
|         ('imparted', 'by')        |   ['1']    | 1  |
