+-----------------------------------+----+
|                term               | tf |
+-----------------------------------+----+
|           ('of', 'the')           | 62 |
|           ('in', 'the')           | 52 |
|          ('from', 'the')          | 42 |
|          ('winds', 'of')          | 32 |
|         ('a', 'tropical')         | 31 |
|            ('and', 'a')           | 26 |
|           ('to', 'the')           | 25 |
|            ('of', 'a')            | 25 |
|         ('a', 'hurricane')        | 25 |
|          ('the', 'ocean')         | 24 |
|        ('the', 'hurricane')       | 24 |
|          ('cyclone', 'a')         | 24 |
|            ('by', 'a')            | 23 |
|           ('was', 'the')          | 22 |
|         ('the', 'damage')         | 22 |
|           ('on', 'the')           | 22 |
|           ('by', 'the')           | 22 |
|      ('tropical', 'cyclone')      | 21 |
|        ('the', 'tropical')        | 21 |
|        ('carolina', 'the')        | 21 |
|         ('the', 'strong')         | 20 |
|          ('the', 'storm')         | 20 |
|          ('the', 'south')         | 20 |
|         ('the', 'season')         | 20 |
|          ('the', 'outer')         | 20 |
|         ('the', 'deaths')         | 20 |
|         ('season', 'the')         | 20 |
|          ('of', 'isabel')         | 20 |
|            ('in', 'a')            | 20 |
|        ('hurricane', 'of')        | 20 |
|       ('hemisphere', 'the')       | 20 |
|          ('along', 'the')         | 20 |
|         ('toward', 'the')         | 19 |
|         ('through', 'the')        | 19 |
|          ('the', 'worst')         | 19 |
|        ('the', 'southern')        | 19 |
|         ('the', 'shores')         | 19 |
|         ('the', 'shapes')         | 19 |
|        ('the', 'opposite')        | 19 |
|      ('the', 'northwestern')      | 19 |
|        ('the', 'northern')        | 19 |
|          ('the', 'ninth')         | 19 |
|          ('the', 'next')          | 19 |
|          ('the', 'most')          | 19 |
|         ('the', 'hampton')        | 19 |
|      ('the', 'geographical')      | 19 |
|       ('the', 'evaporation')      | 19 |
|         ('the', 'equator')        | 19 |
|         ('the', 'effects')        | 19 |
|         ('the', 'earths')         | 19 |
|        ('the', 'costliest')       | 19 |
|        ('the', 'coriolis')        | 19 |
|      ('the', 'conservation')      | 19 |
|          ('the', 'cape')          | 19 |
|        ('the', 'benguela')        | 19 |
|          ('the', 'axis')          | 19 |
|        ('the', 'atlantic')        | 19 |
|         ('the', 'african')        | 19 |
|          ('the', '2003')          | 19 |
|        ('reported', 'the')        | 19 |
|         ('permit', 'the')         | 19 |
|      ('pennsylvania', 'the')      | 19 |
|          ('ocean', 'and')         | 19 |
|          ('near', 'the')          | 19 |
|        ('hurricane', 'and')       | 19 |
|        ('diameter', 'the')        | 19 |
|        ('destroyed', 'the')       | 19 |
|         ('because', 'the')        | 19 |
|            ('as', 'a')            | 19 |
|         ('of', 'virginia')        | 18 |
|          ('of', 'north')          | 18 |
|            ('are', 'a')           | 18 |
|          ('winds', 'and')         | 17 |
|            ('is', 'a')            | 17 |
|         ('damage', 'and')         | 17 |
|        ('and', 'virginia')        | 17 |
|          ('and', 'north')         | 17 |
|         ('and', 'damage')         | 17 |
|        ('thousands', 'of')        | 16 |
|           ('of', '165')           | 16 |
|        ('carolina', 'and')        | 16 |
|          ('areas', 'of')          | 16 |
|          ('worst', 'of')          | 15 |
|        ('weakened', 'and')        | 15 |
|           ('that', 'of')          | 15 |
|          ('shores', 'of')         | 15 |
|         ('portion', 'of')         | 15 |
|          ('of', 'water')          | 15 |
|          ('of', 'rivers')         | 15 |
|          ('of', 'light')          | 15 |
|          ('of', 'homes')          | 15 |
|         ('of', 'hatteras')        | 15 |
|         ('of', 'dollars')         | 15 |
|           ('of', '105')           | 15 |
|        ('hurricane', 'in')        | 15 |
|       ('hemisphere', 'and')       | 15 |
|       ('environment', 'of')       | 15 |
|         ('effects', 'of')         | 15 |
|         ('deaths', 'and')         | 15 |
|          ('banks', 'of')          | 15 |
|          ('and', 'south')         | 15 |
|         ('and', 'simply')         | 15 |
|          ('and', 'rain')          | 15 |
|         ('and', 'blowing')        | 15 |
|          ('and', 'along')         | 15 |
|          ('a', 'typhoon')         | 15 |
|          ('a', 'result')          | 15 |
|            ('68', 'of')           | 15 |
|            ('64', 'of')           | 15 |
|          ('west', 'and')          | 14 |
|          ('weeks', 'and')         | 14 |
