+---------------------------------------------+------------+----+
|                     term                    |   docID    | df |
+---------------------------------------------+------------+----+
|           ('1', 'in', 'diameter')           |   ['1']    | 1  |
|             ('100', 'and', '2')             |   ['1']    | 1  |
|            ('105', 'mph', '165')            |   ['2']    | 1  |
|        ('11', 'after', 'fluctuating')       |   ['2']    | 1  |
|             ('165', 'kmh', 'on')            |   ['2']    | 1  |
|            ('165', 'mph', '265')            |   ['2']    | 1  |
|           ('18', 'it', 'quickly')           |   ['2']    | 1  |
|              ('2', '62', 'and')             |   ['1']    | 1  |
|      ('2003', 'atlantic', 'hurricane')      |   ['2']    | 1  |
|             ('265', 'kmh', 'on')            |   ['2']    | 1  |
|              ('6', 'in', 'the')             |   ['2']    | 1  |
|              ('62', 'and', '1')             |   ['1']    | 1  |
|             ('64', 'of', 'the')             |   ['2']    | 1  |
|             ('68', 'of', 'the')             |   ['2']    | 1  |
|         ('a', 'circle', 'whirling')         |   ['1']    | 1  |
|         ('a', 'closed', 'low-level')        |   ['1']    | 1  |
|           ('a', 'hurricane', 'is')          |   ['1']    | 1  |
|         ('a', 'hurricane', 'isabel')        |   ['2']    | 1  |
|       ('a', 'low-pressure', 'center')       |   ['1']    | 1  |
|            ('a', 'portion', 'of')           |   ['2']    | 1  |
|         ('a', 'rapidly', 'rotating')        |   ['1']    | 1  |
|            ('a', 'result', 'of')            |   ['1']    | 1  |
|           ('a', 'result', 'they')           |   ['1']    | 1  |
|        ('a', 'spiral', 'arrangement')       |   ['1']    | 1  |
|         ('a', 'tropical', 'cyclone')        | ['1', '2'] | 2  |
|          ('a', 'tropical', 'wave')          |   ['2']    | 1  |
|          ('a', 'typhoon', 'occurs')         |   ['1']    | 1  |
|            ('about', '64', 'of')            |   ['2']    | 1  |
|      ('absent', 'from', 'southwestern')     |   ['1']    | 1  |
|         ('african', 'and', 'south')         |   ['1']    | 1  |
|        ('after', 'fluctuating', 'in')       |   ['2']    | 1  |
|         ('air', 'flows', 'inwards')         |   ['1']    | 1  |
|           ('air', 'rises', 'and')           |   ['1']    | 1  |
|      ('almost', 'completely', 'absent')     |   ['1']    | 1  |
|      ('almost', 'exclusively', 'over')      |   ['1']    | 1  |
|          ('along', 'the', 'outer')          |   ['2']    | 1  |
|          ('along', 'the', 'shores')         |   ['2']    | 1  |
|       ('also', 'almost', 'completely')      |   ['1']    | 1  |
|     ('american', 'continents', 'permit')    |   ['1']    | 1  |
|         ('an', 'environment', 'of')         |   ['2']    | 1  |
|              ('and', '1', 'in')             |   ['1']    | 1  |
|              ('and', '2', '62')             |   ['1']    | 1  |
|             ('and', '68', 'of')             |   ['2']    | 1  |
|            ('and', 'a', 'spiral')           |   ['1']    | 1  |
|           ('and', 'a', 'typhoon')           |   ['1']    | 1  |
|           ('and', 'along', 'the')           |   ['2']    | 1  |
|      ('and', 'became', 'extratropical')     |   ['2']    | 1  |
|       ('and', 'blowing', 'clockwise')       |   ['1']    | 1  |
|            ('and', 'cools', 'to')           |   ['1']    | 1  |
|          ('and', 'damage', 'from')          |   ['2']    | 1  |
|      ('and', 'european', 'windstorms')      |   ['1']    | 1  |
|       ('and', 'humboldt', 'currents')       |   ['1']    | 1  |
|         ('and', 'local', 'flooding')        |   ['2']    | 1  |
|         ('and', 'made', 'landfall')         |   ['2']    | 1  |
|            ('and', 'north', 'as')           |   ['2']    | 1  |
|      ('and', 'northeastern', 'pacific')     |   ['1']    | 1  |
|           ('and', 'rain', 'when')           |   ['1']    | 1  |
