+---------------------------------------------+----+
|                     term                    | tf |
+---------------------------------------------+----+
|         ('tropical', 'cyclone', 'a')        | 38 |
|          ('hurricane', 'of', 'the')         | 38 |
|         ('a', 'tropical', 'cyclone')        | 38 |
|           ('of', 'the', 'damage')           | 36 |
|           ('of', 'a', 'tropical')           | 36 |
|           ('the', 'damage', 'and')          | 35 |
|           ('of', 'the', 'season')           | 34 |
|           ('of', 'the', 'deaths')           | 34 |
|            ('worst', 'of', 'the')           | 33 |
|            ('the', 'worst', 'of')           | 33 |
|           ('the', 'shores', 'of')           | 33 |
|           ('the', 'effects', 'of')          | 33 |
|           ('of', 'the', 'effects')          | 33 |
|          ('hurricane', 'in', 'the')         | 33 |
|           ('and', 'along', 'the')           | 33 |
|             ('68', 'of', 'the')             | 33 |
|             ('64', 'of', 'the')             | 33 |
|          ('the', 'benguela', 'and')         | 32 |
|          ('the', 'african', 'and')          | 32 |
|           ('result', 'of', 'the')           | 32 |
|            ('ocean', 'and', 'a')            | 32 |
|        ('cyclone', 'a', 'hurricane')        | 32 |
|           ('within', 'of', 'the')           | 31 |
|           ('the', 'shapes', 'of')           | 31 |
|         ('the', 'evaporation', 'of')        | 31 |
|        ('the', 'conservation', 'of')        | 31 |
|            ('the', 'axis', 'of')            | 31 |
|           ('shapes', 'of', 'the')           | 31 |
|           ('of', 'the', 'equator')          | 31 |
|        ('of', 'the', 'conservation')        | 31 |
|           ('of', 'the', 'african')          | 31 |
|            ('winds', 'and', 'a')            | 30 |
|        ('the', 'equator', 'tropical')       | 30 |
|          ('in', 'the', 'tropical')          | 30 |
|         ('cyclone', 'a', 'tropical')        | 30 |
|             ('winds', 'of', 'a')            | 29 |
|           ('isabel', 'was', 'the')          | 28 |
|           ('is', 'a', 'tropical')           | 28 |
|           ('in', 'the', 'hampton')          | 28 |
|            ('in', 'the', '2003')            | 28 |
|         ('especially', 'in', 'the')         | 28 |
|           ('and', 'a', 'typhoon')           | 28 |
|             ('and', '68', 'of')             | 28 |
|              ('6', 'in', 'the')             | 28 |
|           ('refers', 'to', 'the')           | 27 |
|           ('occurs', 'in', 'the')           | 27 |
|            ('in', 'the', 'south')           | 27 |
|           ('from', 'the', 'ocean')          | 27 |
|         ('from', 'the', 'hurricane')        | 27 |
|           ('and', 'strength', 'a')          | 27 |
|            ('and', 'a', 'spiral')           | 27 |
|            ('a', 'result', 'of')            | 27 |
|            ('while', 'in', 'the')           | 26 |
|        ('to', 'the', 'geographical')        | 26 |
|          ('to', 'the', 'coriolis')          | 26 |
|         ('the', 'season', 'isabel')         | 26 |
|          ('in', 'the', 'southern')          | 26 |
|        ('in', 'the', 'northwestern')        | 26 |
|          ('in', 'the', 'northern')          | 26 |
|          ('in', 'the', 'atlantic')          | 26 |
|          ('in', 'diameter', 'the')          | 26 |
|        ('hurricane', 'season', 'the')       | 26 |
|             ('due', 'to', 'the')            | 26 |
|      ('counterclockwise', 'in', 'the')      | 26 |
|          ('clockwise', 'in', 'the')         | 26 |
|      ('tropical', 'depression', 'and')      | 25 |
|         ('the', 'ocean', 'surface')         | 25 |
|        ('the', 'hurricane', 'about')        | 25 |
|         ('the', 'atlantic', 'ocean')        | 25 |
|        ('strength', 'a', 'tropical')        | 25 |
|         ('north', 'carolina', 'the')        | 25 |
|            ('in', 'areas', 'of')            | 25 |
