+------------------+------------+----+
|       term       |   docID    | df |
+------------------+------------+----+
|                  |   ['2']    | 1  |
|                  |            |    |
|        1         |   ['1']    | 1  |
|       100        |   ['1']    | 1  |
|       105        |   ['2']    | 1  |
|        11        |   ['2']    | 1  |
|       165        |   ['2']    | 1  |
|        18        |   ['2']    | 1  |
|        2         |   ['1']    | 1  |
|       2003       |   ['2']    | 1  |
|       265        |   ['2']    | 1  |
|        6         |   ['2']    | 1  |
|        62        |   ['1']    | 1  |
|        64        |   ['2']    | 1  |
|        68        |   ['2']    | 1  |
|        a         | ['1', '2'] | 2  |
|      about       |   ['2']    | 1  |
|      absent      |   ['1']    | 1  |
|     african      |   ['1']    | 1  |
|      after       |   ['2']    | 1  |
|       air        |   ['1']    | 1  |
|      almost      |   ['1']    | 1  |
|      along       |   ['2']    | 1  |
|       also       |   ['1']    | 1  |
|     american     |   ['1']    | 1  |
|        an        |   ['2']    | 1  |
|       and        | ['1', '2'] | 2  |
|     angular      |   ['1']    | 1  |
|       are        |   ['1']    | 1  |
|       area       |   ['2']    | 1  |
|      areas       |   ['2']    | 1  |
|   arrangement    |   ['1']    | 1  |
|        as        | ['1', '2'] | 2  |
|     atlantic     | ['1', '2'] | 2  |
|   atmospheric    |   ['1']    | 1  |
|       axis       |   ['1']    | 1  |
|      banks       |   ['2']    | 1  |
|      banks,      |   ['2']    | 1  |
|      basins      |   ['1']    | 1  |
|      became      |   ['2']    | 1  |
|     because      |   ['1']    | 1  |
|     benguela     |   ['1']    | 1  |
|     between      |   ['1']    | 1  |
|     blowing      |   ['1']    | 1  |
|      bodies      |   ['1']    | 1  |
|        by        | ['1', '2'] | 2  |
|       cape       |   ['2']    | 1  |
|     carolina     |   ['2']    | 1  |
|      caused      |   ['2']    | 1  |
|      center      |   ['1']    | 1  |
|     central      |   ['1']    | 1  |
|  characterized   |   ['1']    | 1  |
|      circle      |   ['1']    | 1  |
|   circulation    |   ['1']    | 1  |
|      clear       |   ['1']    | 1  |
|    clockwise     |   ['1']    | 1  |
|      closed      |   ['1']    | 1  |
|      clouds      |   ['1']    | 1  |
|    comparable    |   ['1']    | 1  |
|    completely    |   ['1']    | 1  |
|   conservation   |   ['1']    | 1  |
|    continents    |   ['1']    | 1  |
|    contrasts     |   ['1']    | 1  |
|       cool       |   ['1']    | 1  |
|      cools       |   ['1']    | 1  |
|     coriolis     |   ['1']    | 1  |
|    costliest     |   ['2']    | 1  |
| counterclockwise |   ['1']    | 1  |
|      cover       |   ['1']    | 1  |
|     currents     |   ['1']    | 1  |
|     cyclone      | ['1', '2'] | 2  |
|     cyclones     |   ['1']    | 1  |
|     cyclonic     |   ['1']    | 1  |
|      damage      |   ['2']    | 1  |
|     damaged      |   ['2']    | 1  |
|       day        |   ['2']    | 1  |
|       days       |   ['2']    | 1  |
|        dc        |   ['2']    | 1  |
|    deadliest     |   ['2']    | 1  |
|      deaths      |   ['2']    | 1  |
|    depending     |   ['1']    | 1  |
|    depression    |   ['1']    | 1  |
|      derive      |   ['1']    | 1  |
|    destroyed     |   ['2']    | 1  |
|     diameter     |   ['1']    | 1  |
|    different     |   ['1']    | 1  |
|     differs      |   ['1']    | 1  |
|    direction     |   ['1']    | 1  |
|    disrupted     |   ['2']    | 1  |
|     dollars      |   ['2']    | 1  |
|       due        |   ['1']    | 1  |
|      earths      |   ['1']    | 1  |
|      effect      |   ['1']    | 1  |
|     effects      |   ['2']    | 1  |
|     electric     |   ['2']    | 1  |
|   electricity    |   ['2']    | 1  |
|      energy      |   ['1']    | 1  |
|   environment    |   ['2']    | 1  |
|     equator      |   ['1']    | 1  |
|    especially    |   ['2']    | 1  |
|     european     |   ['1']    | 1  |
|   evaporation    |   ['1']    | 1  |
|       even       |   ['2']    | 1  |
|   excessively    |   ['1']    | 1  |
|   exclusively    |   ['1']    | 1  |
|  extratropical   |   ['2']    | 1  |
|       eye        |   ['1']    | 1  |
|       far        | ['1', '2'] | 2  |
|      fifth       |   ['2']    | 1  |
