+------------------+----+
|       term       | tf |
+------------------+----+
|       the        | 36 |
|        of        | 26 |
|       and        | 26 |
|        a         | 17 |
|        in        | 16 |
|     tropical     | 14 |
|        to        | 9  |
|        as        | 9  |
|    hurricane     | 8  |
|      ocean       | 7  |
|     cyclone      | 7  |
|      winds       | 6  |
|      isabel      | 6  |
|       from       | 6  |
|        by        | 6  |
|      storm       | 5  |
|        on        | 5  |
|      north       | 5  |
|       are        | 5  |
|       was        | 4  |
|     virginia     | 4  |
|      their       | 4  |
|       over       | 4  |
|        is        | 4  |
|       form       | 4  |
|      damage      | 4  |
|       with       | 3  |
|      which       | 3  |
|      water       | 3  |
|       that       | 3  |
|    september     | 3  |
|     pacific      | 3  |
|        or        | 3  |
|        it        | 3  |
|       for        | 3  |
|     cyclonic     | 3  |
|     cyclones     | 3  |
|     carolina     | 3  |
|     atlantic     | 3  |
|      within      | 2  |
|       were       | 2  |
|     weakened     | 2  |
|       warm       | 2  |
|    typically     | 2  |
|     typhoon      | 2  |
|    thousands     | 2  |
|       they       | 2  |
|      strong      | 2  |
|      storms      | 2  |
|      south       | 2  |
|      simply      | 2  |
|      season      | 2  |
|     rotation     | 2  |
|     rotating     | 2  |
|      result      | 2  |
|      refers      | 2  |
|     referred     | 2  |
|       rain       | 2  |
|      outer       | 2  |
|       out        | 2  |
|      occurs      | 2  |
|     occurred     | 2  |
|       mph        | 2  |
|       kmh        | 2  |
|    hemisphere    | 2  |
|       far        | 2  |
|      energy      | 2  |
|      deaths      | 2  |
|       days       | 2  |
|   circulation    | 2  |
|     blowing      | 2  |
|      areas       | 2  |
|      along       | 2  |
|      almost      | 2  |
|       air        | 2  |
|       165        | 2  |
|      worst       | 1  |
|     without      | 1  |
|    windstorms    | 1  |
|       wind       | 1  |
|     whirling     | 1  |
|      while       | 1  |
|      where       | 1  |
|       when       | 1  |
|       what       | 1  |
|     western      | 1  |
|       west       | 1  |
|      weeks       | 1  |
|       wave       | 1  |
|      waters      | 1  |
|    washington    | 1  |
|      washed      | 1  |
|      verde       | 1  |
|   unofficially   | 1  |
|    ultimately    | 1  |
|      toward      | 1  |
|  thunderstorms   | 1  |
|     through      | 1  |
|       this       | 1  |
|      these       | 1  |
|   temperature    | 1  |
|     systems      | 1  |
|      system      | 1  |
|      surge       | 1  |
|     surface      | 1  |
|       such       | 1  |
