query_id Q0 doc_id rank Lucene_score system_name
5 Q0 601.txt 1.  score=0.7622813 VSMLucene
5 Q0 569.txt 2.  score=0.41719744 VSMLucene
5 Q0 574.txt 3.  score=0.34476826 VSMLucene
5 Q0 583.txt 4.  score=0.32892707 VSMLucene
5 Q0 579.txt 5.  score=0.30238658 VSMLucene
5 Q0 584.txt 6.  score=0.2858555 VSMLucene
5 Q0 559.txt 7.  score=0.27509424 VSMLucene
5 Q0 589.txt 8.  score=0.26144114 VSMLucene
5 Q0 582.txt 9.  score=0.22812036 VSMLucene
5 Q0 595.txt 10.  score=0.19662099 VSMLucene
5 Q0 572.txt 11.  score=0.19254753 VSMLucene
5 Q0 571.txt 12.  score=0.19254753 VSMLucene
5 Q0 578.txt 13.  score=0.19057032 VSMLucene
5 Q0 561.txt 14.  score=0.17806356 VSMLucene
5 Q0 564.txt 15.  score=0.16504075 VSMLucene
5 Q0 555.txt 16.  score=0.15922609 VSMLucene
5 Q0 586.txt 17.  score=0.15138872 VSMLucene
5 Q0 565.txt 18.  score=0.14830804 VSMLucene
5 Q0 818.txt 19.  score=0.14130425 VSMLucene
5 Q0 593.txt 20.  score=0.13835621 VSMLucene
5 Q0 553.txt 21.  score=0.13667062 VSMLucene
5 Q0 566.txt 22.  score=0.13531831 VSMLucene
5 Q0 297.txt 23.  score=0.12455678 VSMLucene
5 Q0 596.txt 24.  score=0.12379788 VSMLucene
5 Q0 563.txt 25.  score=0.121545896 VSMLucene
5 Q0 562.txt 26.  score=0.121247664 VSMLucene
5 Q0 745.txt 27.  score=0.11304343 VSMLucene
5 Q0 598.txt 28.  score=0.10566437 VSMLucene
5 Q0 833.txt 29.  score=0.10238703 VSMLucene
5 Q0 592.txt 30.  score=0.10005866 VSMLucene
5 Q0 588.txt 31.  score=0.09671643 VSMLucene
5 Q0 570.txt 32.  score=0.09160699 VSMLucene
5 Q0 581.txt 33.  score=0.08177954 VSMLucene
5 Q0 812.txt 34.  score=0.07753104 VSMLucene
5 Q0 400.txt 35.  score=0.07279255 VSMLucene
5 Q0 754.txt 36.  score=0.071892485 VSMLucene
5 Q0 290.txt 37.  score=0.071892485 VSMLucene
5 Q0 390.txt 38.  score=0.06347344 VSMLucene
5 Q0 525.txt 39.  score=0.05501358 VSMLucene
5 Q0 548.txt 40.  score=0.05375027 VSMLucene
5 Q0 517.txt 41.  score=0.052043475 VSMLucene
5 Q0 505.txt 42.  score=0.051520407 VSMLucene
5 Q0 457.txt 43.  score=0.05129429 VSMLucene
5 Q0 515.txt 44.  score=0.05099198 VSMLucene
5 Q0 530.txt 45.  score=0.05099198 VSMLucene
5 Q0 521.txt 46.  score=0.05099198 VSMLucene
5 Q0 523.txt 47.  score=0.050557368 VSMLucene
5 Q0 329.txt 48.  score=0.044871923 VSMLucene
5 Q0 368.txt 49.  score=0.04461798 VSMLucene
5 Q0 573.txt 50.  score=0.04274524 VSMLucene
5 Q0 285.txt 51.  score=0.04274524 VSMLucene
